Category,Common name,Scientific name,Growth form,Will you grow it?,Hardiness range,Zone 7 fit,Sun,Water,Harvest window,Harvest difficulty (1-5),Tastiness (1-5),Productivity (1-5),Edible parts / uses,Notes,Propagation,Nitrogen fixer
"Roots, tubers & rhizomes",Violet wood-sorrel,Oxalis violacea,Herbaceous perennial,,5-9,Wild in zone 7,Sun - part shade,Moderate,Spring,2,4,4,Leaves; flowers; bulbs,"Status: wild native. Tastiness: generally regarded as tasty. Flavor: tart and lemony. Best prep: usually best cooked, roasted, or simmered until tender. Cautions: contains oxalates.",Bulblets; seed,No
"Roots, tubers & rhizomes",Wasabi,Eutrema japonicum,Herbaceous perennial,,6-9,Hardy with protection,Part shade,Constant moisture,Year-round leaves; roots after 18-24 months,4,5,1,Rhizomes; leaves,"Status: cultivated. Tastiness: widely regarded as highly tasty. Flavor: hot, green, mustard-like. Best prep: grate fresh and use sparingly just before serving. Cautions: needs cool, moist conditions to thrive.",Division,No
Leafy greens,American basswood,Tilia americana,Tree,,3-8,Wild in zone 7,Sun - part shade,Moderate,Spring,2,3,2,Young leaves,"Status: wild native and cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: soft, mild, lettuce-like. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Notes: Tender new leaves are the main edible part.",Seed; cuttings,No
Leafy greens,Broadleaf plantain,Plantago major,Herbaceous perennial,,3-9,Wild in zone 7,Sun - part shade,Low - moderate,Spring - summer,2,2,5,Young leaves; seeds,"Status: wild naturalized. Tastiness: mainly considered useful rather than notably tasty. Flavor: mild to earthy. Best prep: harvest only very young leaves, or use the seeds. Cautions: older leaves become fibrous.",Seed,No
Leafy greens,Chicory,Cichorium intybus,Herbaceous perennial,,3-9,Wild in zone 7,Full sun,Low - moderate,Spring - fall,1,3,5,Leaves; roots,"Status: wild naturalized and cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: bitter, nutty when cooked. Best prep: use young leaves, or cook and mellow the bitterness.",Seed,No
Leafy greens,Common blue violet,Viola sororia,Herbaceous perennial,,3-8,Wild in zone 7,Part shade - shade,Moderate,Spring,1,4,5,Leaves; flowers,"Status: wild native and cultivated. Tastiness: generally regarded as tasty. Flavor: mild leaves; sweet floral blossoms. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture.",Division; seed,No
Leafy greens,Dandelion,Taraxacum officinale,Herbaceous perennial,,3-10,Wild in zone 7,Sun - part shade,Low - moderate,Spring - fall,1,3,5,Leaves; roots; flowers,Status: wild naturalized and cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: pleasantly bitter. Best prep: use the youngest leaves fresh or blanch/cook older leaves. Notes: Common edible volunteer.,Seed,No
Leafy greens,French sorrel,Rumex scutatus,Herbaceous perennial,,4-9,Hardy,Sun - part shade,Low - moderate,Spring - fall,1,3,4,Leaves,"Status: cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: mild, lemony. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: contains oxalates.",Division; seed,No
Leafy greens,Garden sorrel,Rumex acetosa,Herbaceous perennial,,3-9,Hardy,Sun - part shade,Moderate,Spring - fall,1,4,5,Leaves,"Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty. Flavor: bright, lemony. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: contains oxalates.",Division; seed,No
Leafy greens,Good King Henry,Blitum bonus-henricus,Herbaceous perennial,Yes,4-8,Hardy,Sun - part shade,Moderate,Spring - summer,1,3,3,Leaves; shoots,"Status: cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: earthy, spinach-like. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Notes: Slow to establish but long lived.",Seed; division,No
Leafy greens,Hosta,Hosta spp.,Herbaceous perennial,Yes,3-9,Hardy,Part shade - shade,Moderate,Early spring,1,3,3,Shoots; leaves; buds,"Status: cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: mild, green-bean-like. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Notes: Harvest lightly from mature clumps.",Division,No
Leafy greens,Oyster leaf,Mertensia maritima,Herbaceous perennial,Yes,3-8,Hardy,Full sun - part shade,Moderate,Spring - summer,2,5,5,Leaves,Status: cultivated. Tastiness: widely regarded as highly tasty in its culinary role. Flavor: fresh oyster note. Best prep: best fresh in small amounts for its shellfish-like flavor. Cautions: prefers cool conditions.,Seed; division,No
Leafy greens,Patience dock,Rumex patientia,Herbaceous perennial,,4-8,Hardy,Sun - part shade,Moderate,Spring - fall,1,3,4,Leaves,"Status: cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: mildly tart. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: contains oxalates.",Division; seed,No
Leafy greens,Perennial arugula,Diplotaxis tenuifolia,Herbaceous perennial,,4-9,Hardy,Full sun,Low - moderate,Spring - fall,1,4,4,Leaves,"Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty. Flavor: peppery. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: can self-seed.",Seed; division,No
Leafy greens,Sea beet,Beta vulgaris subsp. maritima,Herbaceous perennial,,5-9,Hardy,Full sun,Low - moderate,Spring - fall,1,3,4,Leaves,"Status: wild native to coasts and cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: salty, earthy. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Notes: Wild beet ancestor.",Seed,No
Leafy greens,Stinging nettle,Urtica dioica,Herbaceous perennial,,3-10,Wild in zone 7,Sun - part shade,Moderate - moist,Spring - early summer,2,4,4,Young leaves,"Status: wild native and cultivated. Tastiness: generally regarded as tasty. Flavor: deep green, spinach-like. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: stings raw; cook or dry before handling heavily.",Division; seed,No
Leafy greens,Turkish rocket,Bunias orientalis,Herbaceous perennial,,4-8,Hardy,Full sun,Low - moderate,Spring,1,4,5,Leaves; shoots,"Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty. Flavor: mustardy and broccoli-like. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: vigorous and potentially weedy.",Seed; division,No
Leafy greens,Wood nettle,Laportea canadensis,Herbaceous perennial,,3-8,Wild in zone 7,Part shade - shade,Moist,Spring - early summer,2,4,4,Young leaves,"Status: wild native. Tastiness: generally regarded as tasty. Flavor: tender, nettle-like. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: stings raw.",Seed; division,No
"Shoots, stalks & flower vegetables",American pokeweed,Phytolacca americana,Herbaceous perennial,,4-9,Wild in zone 7,Sun - part shade,Moderate,Very early spring,5,1,1,Very young shoots,"Status: wild native. Tastiness: mainly a survival food or only marginally palatable. Flavor: mild after proper boiling. Best prep: only very young shoots are used, and they need repeated boiling with water changes. Cautions: all mature parts are toxic; only expert, traditional preparation is acceptable.",Seed,No
"Shoots, stalks & flower vegetables",Asparagus,Asparagus officinalis,Herbaceous perennial,,3-9,Hardy,Full sun,Moderate,Spring,1,5,5,Shoots,"Status: cultivated and wild naturalized. Tastiness: widely regarded as highly tasty in its culinary role. Flavor: sweet, grassy. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture.",Crowns; seed,No
"Shoots, stalks & flower vegetables",Common milkweed,Asclepias syriaca,Herbaceous perennial,,3-9,Wild in zone 7,Full sun,Low - moderate,Spring - summer,4,4,5,Young shoots; buds; very young pods,"Status: wild native. Tastiness: generally regarded as tasty. Flavor: green-bean-like when properly cooked. Best prep: use very young shoots, buds, or tiny pods; boil or steam. Cautions: requires correct stage and repeated boiling for many preparations; do not confuse with other milkweeds.",Seed; rhizomes,No
"Shoots, stalks & flower vegetables",Daylily,Hemerocallis fulva,Herbaceous perennial,Yes,4-9,Hardy,Sun - part shade,Low - moderate,Spring - summer,1,4,4,Shoots; buds; flowers,"Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty. Flavor: mild shoots; sweet floral buds. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: some people are sensitive; use known edible daylily types.",Division,No
"Shoots, stalks & flower vegetables",Eastern redbud,Cercis canadensis,Tree,,4-9,Wild in zone 7,Sun - part shade,Moderate,Spring,1,4,5,Flowers; young pods,"Status: wild native and cultivated. Tastiness: generally regarded as tasty. Flavor: sweet-tart flowers. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture.",Seed; cuttings,Yes
"Shoots, stalks & flower vegetables",Hops,Humulus lupulus,Vine,,3-8,Hardy,Full sun,Moderate,Spring shoots; late summer cones,1,3,4,Young shoots,"Status: cultivated and wild naturalized. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: asparagus-like shoots; bitter cones. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: vigorous twining vine.",Rhizomes; cuttings,No
"Shoots, stalks & flower vegetables",Ostrich fern,Matteuccia struthiopteris,Herbaceous perennial,Yes,3-7,Hardy,Part shade - shade,Moist,Early spring,2,4,3,Fiddleheads,"Status: wild native and cultivated. Tastiness: generally regarded as tasty. Flavor: green, asparagus-like. Cautions: harvest lightly and only from mature crowns.",Division,No
"Shoots, stalks & flower vegetables",Perennial kale / broccoli types,Brassica oleracea,Herbaceous perennial,Yes,6-9,Hardy with protection,Full sun,Moderate,Spring - fall,1,5,5,Leaves; shoots; flower buds,"Status: cultivated. Tastiness: widely regarded as highly tasty in its culinary role. Flavor: cabbage-like to broccoli-like. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: best with mulch or protection in colder parts of zone 7. Notes: Covers Daubenton and other perennial brassica forms.",Cuttings; seed,No
"Shoots, stalks & flower vegetables",Rhubarb,Rheum x hybridum,Herbaceous perennial,,3-8,Hardy,Full sun,Moderate,Spring - early summer,1,4,4,Leaf stalks,Status: cultivated. Tastiness: generally regarded as tasty. Flavor: strongly tart. Cautions: leaf blades are toxic.,Division,No
"Shoots, stalks & flower vegetables",Sea kale,Crambe maritima,Herbaceous perennial,,5-9,Hardy,Full sun,Well-drained,Spring - summer,1,5,4,Shoots; leaves; flower buds,"Status: cultivated. Tastiness: widely regarded as highly tasty in its culinary role. Flavor: cabbage-like and mild. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture.",Root cuttings; seed,No
"Shoots, stalks & flower vegetables",Udo,Aralia cordata,Herbaceous perennial,Yes,4-9,Hardy,Sun - part shade,Moderate,Spring,1,4,4,Blanched shoots,"Status: cultivated. Tastiness: generally regarded as tasty. Flavor: celery-like, aromatic. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Notes: Large Japanese mountain vegetable.",Division,No
"Shoots, stalks & flower vegetables",Yellow groove bamboo,Phyllostachys aureosulcata,Grass-like,,5-10,Hardy,Full sun,Moderate,Spring,3,3,4,Young shoots,"Status: cultivated. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: mild, bamboo-like. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: running bamboo can spread aggressively.",Rhizome division,No
Alliums,Chives,Allium schoenoprasum,Herbaceous perennial,Yes,3-9,Hardy,Sun - part shade,Low - moderate,Spring - fall,1,5,4,Leaves; flowers,"Status: cultivated and wild naturalized. Tastiness: widely regarded as highly tasty in its culinary role. Flavor: mild onion flavor. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture.",Division; seed,No
Alliums,Crow garlic,Allium vineale,Herbaceous perennial,,4-8,Wild in zone 7,Full sun,Low - moderate,Spring,1,4,5,Leaves; bulbs,"Status: wild naturalized. Tastiness: generally regarded as tasty in culinary use. Flavor: strong garlic flavor. Best prep: usually best cooked, roasted, or simmered until tender. Cautions: can be weedy in lawns and beds.",Bulbils; division,No
Alliums,Egyptian walking onion,Allium x proliferum,Herbaceous perennial,Yes,3-9,Hardy,Full sun,Low - moderate,Spring - fall,1,4,5,Greens; bulbs; topsets,"Status: cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: strong onion flavor. Best prep: usually best cooked, roasted, or simmered until tender. Notes: Self-propagating perennial onion.",Bulb division; topsets,No
Alliums,Elephant garlic / perennial leek,Allium ampeloprasum,Herbaceous perennial,,5-9,Hardy,Full sun,Moderate,Spring greens; summer scapes; fall bulbs,1,4,4,Leaves; scapes; bulbs,"Status: cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: mild garlic-leek flavor. Best prep: usually best cooked, roasted, or simmered until tender.",Cloves; offsets,No
Alliums,Garlic chives,Allium tuberosum,Herbaceous perennial,,4-9,Hardy,Sun - part shade,Low - moderate,Spring - fall,1,4,4,Leaves; flower buds,"Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty in culinary use. Flavor: garlicky. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: can self-seed.",Division; seed,No
Alliums,German garlic,Allium senescens,Herbaceous perennial,,4-8,Hardy,Full sun,Low - moderate,Spring - fall,1,4,5,Leaves; flowers,"Status: cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: mild garlic-onion flavor. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture.",Division; seed,No
Alliums,Meadow garlic,Allium canadense,Herbaceous perennial,,4-8,Wild in zone 7,Full sun,Low - moderate,Spring,1,4,5,Leaves; bulbs; bulbils,"Status: wild native. Tastiness: generally regarded as tasty in culinary use. Flavor: onion-garlic flavor. Best prep: usually best cooked, roasted, or simmered until tender.",Bulbils; seed,No
Alliums,Nodding onion,Allium cernuum,Herbaceous perennial,,4-8,Wild in zone 7,Full sun,Low - moderate,Spring - summer,1,4,5,Leaves; bulbs; flowers,"Status: wild native and cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: mild onion flavor. Best prep: usually best cooked, roasted, or simmered until tender.",Seed; division,No
Alliums,Ramps,Allium tricoccum,Herbaceous perennial,Yes,3-7,Wild in zone 7,Part shade - shade,Moist,Early spring,3,4,1,Leaves; bulbs,"Status: wild native and cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: strong garlicky-onion flavor. Best prep: usually best cooked, roasted, or simmered until tender. Cautions: slow growing; avoid overharvest from wild patches.",Seed; bulb division,No
Alliums,Welsh onion,Allium fistulosum,Herbaceous perennial,Yes,4-9,Hardy,Full sun,Moderate,Spring - fall,1,4,5,Leaves; stems,"Status: cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: fresh onion flavor. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture.",Division; seed,No
Culinary herbs,Anise hyssop,Agastache foeniculum,Herbaceous perennial,Yes,4-8,Hardy,Full sun,Moderate,Summer - fall,1,4,5,Leaves; flowers,"Status: wild native and cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: sweet licorice note. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture.",Seed; division,No
Culinary herbs,Bee balm,Monarda didyma,Herbaceous perennial,Yes,4-9,Hardy,Sun - part shade,Moderate,Summer,1,4,5,Leaves; flowers,"Status: wild native and cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: minty, citrusy. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture.",Division; seed,No
Culinary herbs,Costmary,Tanacetum balsamita,Herbaceous perennial,,4-8,Hardy,Full sun,Moderate,Spring - summer,1,4,5,Leaves,"Status: cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: minty and balsamic. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture.",Division,No
Culinary herbs,Culinary lavender,Lavandula angustifolia,Subshrub,,5-9,Hardy,Full sun,Low,Summer,1,4,5,Flowers; leaves,"Status: cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: floral, resinous. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: needs drainage.",Cuttings,No
Culinary herbs,Fennel,Foeniculum vulgare,Herbaceous perennial,,6-9,Hardy,Full sun,Low - moderate,Spring - fall,1,4,4,Leaves; stems; seeds,"Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty in culinary use. Flavor: sweet anise flavor. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: can self-seed.",Seed,No
Culinary herbs,Fish mint,Houttuynia cordata,Herbaceous perennial,,5-10,Hardy,Sun - part shade,Moist,Spring - fall,1,2,5,Leaves; shoots,"Status: cultivated. Tastiness: mainly considered useful rather than notably tasty. Flavor: citrus-fishy, very distinctive. Best prep: best used in small amounts, often chopped fine or mixed with other herbs. Cautions: spreads aggressively.",Division,No
Culinary herbs,French tarragon,Artemisia dracunculus,Herbaceous perennial,Yes,4-8,Hardy,Full sun,Low - moderate,Spring - fall,1,5,4,Leaves,"Status: cultivated. Tastiness: widely regarded as highly tasty in its culinary role. Flavor: sweet anise flavor. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture.",Division; cuttings,No
Culinary herbs,Honewort / mitsuba,Cryptotaenia canadensis,Herbaceous perennial,Yes,3-8,Wild in zone 7,Part shade,Moderate,Spring - fall,1,4,5,Leaves; stems,"Status: wild native and cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: parsley-celery flavor. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture.",Seed; division,No
Culinary herbs,Hyssop,Hyssopus officinalis,Subshrub,,4-9,Hardy,Full sun,Low - moderate,Summer,1,4,5,Leaves; flowers,"Status: cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: minty, camphor-like. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture.",Cuttings; seed,No
Culinary herbs,Lemon balm,Melissa officinalis,Herbaceous perennial,,4-9,Hardy,Sun - part shade,Moderate,Spring - fall,1,4,4,Leaves,"Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty in culinary use. Flavor: bright lemon scent. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: can self-seed.",Division; seed,No
Culinary herbs,Lovage,Levisticum officinale,Herbaceous perennial,Yes,4-9,Hardy,Sun - part shade,Moderate,Spring - fall,1,5,5,Leaves; stems; seeds,"Status: cultivated. Tastiness: widely regarded as highly tasty in its culinary role. Flavor: strong celery flavor. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture.",Division; seed,No
Culinary herbs,Mint,Mentha spp.,Herbaceous perennial,,3-9,Hardy,Sun - part shade,Moderate,Spring - fall,1,5,5,Leaves,"Status: cultivated and wild naturalized. Tastiness: widely regarded as highly tasty in its culinary role. Flavor: cool and aromatic. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: spreads aggressively.",Division; runners,No
Culinary herbs,Oregano,Origanum vulgare,Herbaceous perennial,Yes,4-9,Hardy,Full sun,Low - moderate,Spring - fall,1,5,4,Leaves,"Status: cultivated and wild naturalized. Tastiness: widely regarded as highly tasty in its culinary role. Flavor: warm, pungent, savory. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture.",Division; cuttings,No
Culinary herbs,Rosemary,Salvia rosmarinus,Subshrub,Yes,7-10,Hardy with protection,Full sun,Low,Year-round,1,5,4,Leaves,"Status: cultivated. Tastiness: widely regarded as highly tasty in its culinary role. Flavor: resinous, piney. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: hardiness depends on site and cultivar.",Cuttings,No
Culinary herbs,Sage,Salvia officinalis,Subshrub,Yes,4-8,Hardy,Full sun,Low - moderate,Spring - fall,1,4,4,Leaves,"Status: cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: savory, piney, camphor-like. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: benefits from renewal pruning.",Cuttings; layering,No
Culinary herbs,Salad burnet,Sanguisorba minor,Herbaceous perennial,,4-8,Hardy,Full sun,Low - moderate,Spring - fall,1,4,4,Leaves,"Status: cultivated and wild naturalized. Tastiness: generally regarded as tasty in culinary use. Flavor: cool cucumber note. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture.",Seed; division,No
Culinary herbs,Sweet cicely,Myrrhis odorata,Herbaceous perennial,Yes,3-7,Hardy,Part shade,Moderate,Spring - summer,1,4,5,Leaves; seeds; roots,"Status: cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: sweet anise flavor. Best prep: usually best cooked, roasted, or simmered until tender.",Seed; division,No
Culinary herbs,Thyme,Thymus vulgaris,Subshrub,Yes,5-9,Hardy,Full sun,Low,Spring - fall,1,5,4,Leaves,"Status: cultivated. Tastiness: widely regarded as highly tasty in its culinary role. Flavor: warm, resinous, savory. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: needs drainage.",Cuttings; division,No
Culinary herbs,Wild bergamot,Monarda fistulosa,Herbaceous perennial,,3-9,Wild in zone 7,Full sun,Moderate,Summer,1,4,5,Leaves; flowers,"Status: wild native and cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: oregano-mint profile. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture.",Division; seed,No
Culinary herbs,Winter savory,Satureja montana,Subshrub,,5-9,Hardy,Full sun,Low,Spring - fall,1,4,4,Leaves,"Status: cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: peppery, savory. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: needs good drainage.",Cuttings; division,No
"Tea, spice & sweetener herbs",Boxelder,Acer negundo,Tree,,3-9,Wild in zone 7,Sun - part shade,Low - moderate,Late winter sap,4,4,2,Sap,Status: wild native and cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: milder maple sweetness. Best prep: boil down promptly into syrup or use fresh.,Seed,No
"Tea, spice & sweetener herbs",Honey locust,Gleditsia triacanthos,Tree,,3-8,Hardy,Full sun,Low,Fall,3,2,1,Sweet pod pulp,Status: wild native and cultivated. Tastiness: mainly considered useful rather than notably tasty. Flavor: sweet and molasses-like. Cautions: avoid hard seeds and thorns on wild forms.,Seed,Yes
"Tea, spice & sweetener herbs",Horseradish,Armoracia rusticana,Herbaceous perennial,,3-9,Hardy,Full sun,Moderate,Fall - winter,3,5,4,Roots,Status: cultivated and wild naturalized. Tastiness: widely regarded as highly tasty in its culinary role. Flavor: hot and pungent. Best prep: grate fresh root and use sparingly. Cautions: spreads if roots are left behind.,Root cuttings,No
"Tea, spice & sweetener herbs",Mountain mint,Pycnanthemum virginianum,Herbaceous perennial,,4-8,Wild in zone 7,Full sun,Moderate,Summer,2,4,2,Leaves,"Status: wild native and cultivated. Tastiness: generally regarded as tasty in culinary use. Flavor: strong mint. Best prep: best young; use fresh, lightly cooked, or blanched depending on texture. Cautions: vigorous spreader.",Division; seed,No
"Tea, spice & sweetener herbs",New Jersey tea,Ceanothus americanus,Subshrub,,4-8,Wild in zone 7,Full sun,Low,Summer leaves,2,3,1,Leaves,Status: wild native. Tastiness: opinions are mixed or it is only good in certain preparations. Flavor: mild black-tea-like. Best prep: dry the leaves fully and use them as tea.,Seed; cuttings,Yes
"Tea, spice & sweetener herbs",Sassafras,Sassafras albidum,Tree,,4-9,Wild in zone 7,Sun - part shade,Moderate,Spring leaves; fall roots,2,4,2,Leaves; roots,Status: wild native. Tastiness: generally regarded as tasty in culinary use. Flavor: citrusy root-beer note. Best prep: young leaves are best dried and ground; root flavor is classic but less favored now. Cautions: root use is controversial due safrole; leaves are the lower-risk culinary part.,Seed; suckers,No
"Tea, spice & sweetener herbs",Smooth sumac,Rhus glabra,Shrub,Yes,3-9,Wild in zone 7,Full sun,Low,Late summer - fall,2,4,2,Fruit clusters,"Status: wild native. Tastiness: generally regarded as tasty in culinary use. Flavor: tart, lemony. Best prep: best fully ripe; fresh, dried, or preserved. Cautions: avoid poison sumac confusion.",Seed; suckers,No
