Category,Common name,Scientific name,Lifecycle,Status,Zone 7 self-seeding fit,Primary edible use,Notes
Leafy greens,Shepherd's purse,Capsella bursa-pastoris,Annual / winter annual,wild,Wild in zone 7,"Greens, seed pods",Reliable seed bank species in cool-season garden margins.
Leafy greens,Wild lettuce,Lactuca serriola,Annual to biennial,wild,Wild in zone 7,Young leaves,Best only as a young green; more of a forage species than a deliberate crop.
Leafy greens,Yellow rocket / wintercress,Barbarea vulgaris,Biennial,wild,Wild in zone 7,Young greens,Better cooked or blanched when mature because flavor intensifies.
Leafy greens,Spinach,Spinacia oleracea,Annual,cultivated,Locally reliable self-seeder,Leaves,Most reliable where fall or very early spring crops can bolt and drop seed.
Leafy greens,Garden cress,Lepidium sativum,Annual,cultivated,Reliable self-seeder,Peppery greens,Fast cycle makes it easy to reseed itself repeatedly in cool weather.
Leafy greens,Tatsoi,Brassica rapa subsp. narinosa,Annual,cultivated,Locally reliable self-seeder,Leaves,Can volunteer where spring flowering is allowed.
Leafy greens,Bok choy / pak choi,Brassica rapa subsp. chinensis,Annual,cultivated,Locally reliable self-seeder,"Leaves, stems","Volunteers best from spring seed crops, less so from fall plantings."
Leafy greens,Henbit,Lamium amplexicaule,Annual / winter annual,wild,Wild in zone 7,"Shoots, flowers",Common edible volunteer in cool-season bare ground.
Leafy greens,Purple deadnettle,Lamium purpureum,Annual / winter annual,wild,Wild in zone 7,"Shoots, leaves",Another common winter annual edible in zone-7 gardens.
Leafy greens,Cleavers,Galium aparine,Annual,wild,Wild in zone 7,Very young shoots,Better as a spring forage than a cultivated crop; quickly becomes rough.
Leafy greens,Common sow thistle,Sonchus oleraceus,Annual,wild,Wild in zone 7,Young greens,"Useful young, especially cooked; prolific seed producer."
Leafy greens,New Zealand spinach,Tetragonia tetragonioides,Tender annual,cultivated,Volunteer risk,Leaves,Warm-season self-seeding is possible after a long season but not reliable everywhere.
Leafy greens,Leaf amaranth,Amaranthus tricolor,Annual,cultivated,Locally reliable self-seeder,Leaves,Often volunteers lightly where hot summers allow full seed maturity.
"Shoots, stalks & flower vegetables",Black mustard,Brassica nigra,Annual,both,Volunteer risk,"Greens, flower buds, seeds",Easy volunteer; can become weedy if unmanaged.
"Shoots, stalks & flower vegetables",Calendula,Calendula officinalis,Annual,cultivated,Reliable self-seeder,"Petals, young leaves","Mainly a flower crop, but one of the best edible self-sowers."
"Shoots, stalks & flower vegetables",Mizuna / Japanese mustard greens,Brassica rapa var. nipposinica,Annual,cultivated,Reliable self-seeder,Greens,Frequently volunteers after spring bolting.
"Shoots, stalks & flower vegetables",Mustard greens,Brassica juncea,Annual,cultivated,Reliable self-seeder,Greens,Fast and prolific seed set makes this one of the easiest brassica volunteers.
"Shoots, stalks & flower vegetables",Nasturtium,Tropaeolum majus,Tender annual,cultivated,Locally reliable self-seeder,"Leaves, flowers, green seed pods",Reseeds best in warmer pockets and open beds.
"Shoots, stalks & flower vegetables",Radish,Raphanus sativus,Annual,cultivated,Locally reliable self-seeder,"Roots, greens, pods",Seed pods are also useful food if roots are not harvested.
"Shoots, stalks & flower vegetables",Wild mustard / charlock,Sinapis arvensis,Annual,wild,Wild in zone 7,Young greens,A forage species rather than a planted crop.
"Shoots, stalks & flower vegetables",Wild radish,Raphanus raphanistrum,Annual,wild,Wild in zone 7,"Greens, pods",Common volunteer or field-edge forage plant.
"Shoots, stalks & flower vegetables",Turnip,Brassica rapa subsp. rapa,Biennial grown as an annual,cultivated,Locally reliable self-seeder,"Roots, greens",More reliable if overwintered roots are left to flower.
Culinary herbs,Borage,Borago officinalis,Annual,cultivated,Reliable self-seeder,"Leaves, flowers",One of the classic edible herb self-sowers.
Culinary herbs,Celery,Apium graveolens,Biennial,cultivated,Locally reliable self-seeder,"Leaf stalks, leaves, seeds",Needs overwintered plants to bolt and scatter seed.
Culinary herbs,Chervil,Anthriscus cerefolium,Annual,cultivated,Reliable self-seeder,Leaves,Cool-season herb that often naturalizes lightly.
Culinary herbs,Cilantro / coriander,Coriandrum sativum,Annual,cultivated,Reliable self-seeder,"Leaves, green seeds, dry seeds",A core self-sowing culinary herb in zone 7.
Culinary herbs,Dill,Anethum graveolens,Annual,cultivated,Reliable self-seeder,"Leaves, flowers, seeds",Often returns more aggressively than planned.
Culinary herbs,Parsley,Petroselinum crispum,Biennial,cultivated,Locally reliable self-seeder,"Leaves, roots, seeds",Needs second-year flowering plants for reseeding.
Culinary herbs,Shiso / perilla,Perilla frutescens,Annual,cultivated,Volunteer risk,"Leaves, flower spikes, seeds",Very capable self-sower once established; manage if spread is unwanted.
Culinary herbs,Epazote,Dysphania ambrosioides,Annual,both,Volunteer risk,Leaves,Warm-season herb that can reseed aggressively in hot sites.
Culinary herbs,Summer savory,Satureja hortensis,Annual,cultivated,Locally reliable self-seeder,Leaves,Not as aggressive as dill or cilantro but will return in open soil.
Culinary herbs,Florence fennel / annual fennel,Foeniculum vulgare var. azoricum,Annual to biennial,cultivated,Locally reliable self-seeder,"Bulbs, leaves, seeds",Can cross into wilder fennel behavior where seed is allowed to mature.
"Tea, spice & sweetener herbs",Caraway,Carum carvi,Biennial,cultivated,Locally reliable self-seeder,"Seeds, roots, leaves",Usually needs second-year flowering to perpetuate itself.
"Tea, spice & sweetener herbs",German chamomile,Matricaria chamomilla,Annual,cultivated,Reliable self-seeder,Flowers,One of the easiest tea herbs to naturalize from seed.
"Tea, spice & sweetener herbs",Nigella / black cumin,Nigella sativa,Annual,cultivated,Reliable self-seeder,Seeds,Often persists in lightly disturbed beds after initial sowing.
"Tea, spice & sweetener herbs",Anise,Pimpinella anisum,Annual,cultivated,Locally reliable self-seeder,"Seeds, young leaves",More site-sensitive than dill or cilantro but worth tracking in warm gardens.
Legumes & protein crops,Common vetch,Vicia sativa,Annual,both,Wild in zone 7,"Young tips, seeds with caution",Mainly relevant as a volunteer green-manure and forage species; seed use is limited.
Legumes & protein crops,Crimson clover,Trifolium incarnatum,Annual / winter annual,cultivated,Reliable self-seeder,"Flowers, sprouts, young leaves","More often used as a cover crop, but edible and highly dependable for reseeding."
Legumes & protein crops,Hairy vetch,Vicia villosa,Annual / winter annual,both,Wild in zone 7,Young tips and flowers in limited culinary use,Primarily a cover crop; included because it persists well and has limited edible use.
Legumes & protein crops,Austrian winter pea / field pea,Pisum sativum subsp. arvense,Annual,cultivated,Locally reliable self-seeder,"Shoots, pods, peas","Can volunteer from missed seed, especially in protected or mulched beds."
"Grains, seeds & pseudocereals",Grain amaranth,Amaranthus cruentus,Annual,cultivated,Locally reliable self-seeder,"Seeds, greens",Good candidate where seed heads are left in place through fall.
"Grains, seeds & pseudocereals",Sunflower,Helianthus annuus,Annual,cultivated,Reliable self-seeder,"Seeds, buds, petals",Returns well if birds and rodents do not remove all seed.
"Grains, seeds & pseudocereals",Buckwheat,Fagopyrum esculentum,Annual,cultivated,Reliable self-seeder,"Seeds, greens",Especially good at summer volunteer cycles when seed is allowed to shatter.
"Grains, seeds & pseudocereals",Quinoa,Chenopodium quinoa,Annual,cultivated,Locally reliable self-seeder,"Seeds, young leaves","More variable than amaranth, but volunteers can appear in open, dry summer soils."
"Grains, seeds & pseudocereals",Breadseed poppy,Papaver somniferum,Annual,cultivated,Reliable self-seeder,Seeds,Very dependable self-sower; legal rules and ornamental/crop context should be checked locally.
Fruiting vegetables,Ground cherry,Physalis pruinosa,Annual,cultivated,Reliable self-seeder,Fruit,One of the best self-sowing fruiting annuals for zone 7.
Fruiting vegetables,Tomatillo,Physalis philadelphica,Annual,cultivated,Reliable self-seeder,Fruit,Frequently volunteers around compost edges and former planting spots.
Vines & climbers,Malabar spinach,Basella alba,Tender perennial grown as an annual,cultivated,Volunteer risk,"Leaves, shoots",Warm-season self-seeding is possible but not dependable in every mid-Atlantic garden.
Succulent/xeric edibles,Purslane,Portulaca oleracea,Annual,both,Volunteer risk,Succulent greens,Very persistent from seed in bare summer soil; one of the most useful edible volunteers.
